Date,Ticker,Signal,Confidence
2025-09-19,AAPL,0,0.7055
2025-09-19,AMZN,0,0.4005
2025-09-19,GOOGL,0,0.504
2025-09-19,IBM,-1,0.7387
2025-09-19,MSFT,-1,0.7489
2025-09-19,ORCL,-1,0.5277
2025-09-19,TSLA,-1,0.5161
2025-09-22,AAPL,0,0.5774
2025-09-22,AMZN,-1,0.3954
2025-09-22,GOOGL,0,0.5107
2025-09-22,IBM,-1,0.7383
2025-09-22,MSFT,-1,0.7485
2025-09-22,ORCL,-1,0.5309
2025-09-22,TSLA,-1,0.5287
2025-09-23,AAPL,1,0.4941
2025-09-23,AMZN,-1,0.4047
2025-09-23,GOOGL,0,0.5143
2025-09-23,IBM,-1,0.7396
2025-09-23,MSFT,-1,0.7492
2025-09-23,ORCL,-1,0.5304
2025-09-23,TSLA,-1,0.529
2025-09-24,AAPL,1,0.5704
2025-09-24,AMZN,-1,0.4269
2025-09-24,GOOGL,0,0.5158
2025-09-24,IBM,-1,0.7421
2025-09-24,MSFT,-1,0.7495
2025-09-24,ORCL,-1,0.5328
2025-09-24,TSLA,-1,0.529
2025-09-25,AAPL,1,0.571
2025-09-25,AMZN,-1,0.4423
2025-09-25,GOOGL,0,0.5153
2025-09-25,IBM,-1,0.7407
2025-09-25,MSFT,-1,0.7492
2025-09-25,ORCL,-1,0.5346
2025-09-25,TSLA,-1,0.5264
2025-09-26,AAPL,1,0.5038
2025-09-26,AMZN,-1,0.4514
2025-09-26,GOOGL,0,0.511
2025-09-26,IBM,-1,0.7384
2025-09-26,MSFT,-1,0.7485
2025-09-26,ORCL,-1,0.538
2025-09-26,TSLA,-1,0.5291
2025-09-29,AAPL,0,0.4356
2025-09-29,AMZN,-1,0.4489
2025-09-29,GOOGL,0,0.5032
2025-09-29,IBM,-1,0.7309
2025-09-29,MSFT,-1,0.7478
2025-09-29,ORCL,-1,0.5394
2025-09-29,TSLA,-1,0.5306
2025-09-30,AAPL,0,0.5178
2025-09-30,AMZN,-1,0.4503
2025-09-30,GOOGL,0,0.495
2025-09-30,IBM,-1,0.7274
2025-09-30,MSFT,-1,0.7489
2025-09-30,ORCL,-1,0.5373
2025-09-30,TSLA,-1,0.5213
2025-10-01,AAPL,0,0.5071
2025-10-01,AMZN,-1,0.453
2025-10-01,GOOGL,0,0.4814
2025-10-01,IBM,-1,0.7271
2025-10-01,MSFT,-1,0.7494
2025-10-01,ORCL,-1,0.5382
2025-10-01,TSLA,-1,0.5113
2025-10-02,AAPL,-1,0.5782
2025-10-02,AMZN,-1,0.4546
2025-10-02,GOOGL,0,0.4671
2025-10-02,IBM,-1,0.7264
2025-10-02,MSFT,-1,0.7493
2025-10-02,ORCL,-1,0.5377
2025-10-02,TSLA,-1,0.5015
2025-10-03,AAPL,-1,0.7041
2025-10-03,AMZN,-1,0.4486
2025-10-03,GOOGL,0,0.4523
2025-10-03,IBM,-1,0.7259
2025-10-03,MSFT,-1,0.7488
2025-10-03,ORCL,-1,0.535
2025-10-03,TSLA,-1,0.504
2025-10-06,AAPL,-1,0.7707
2025-10-06,AMZN,-1,0.4423
2025-10-06,GOOGL,0,0.4384
2025-10-06,IBM,-1,0.7224
2025-10-06,MSFT,-1,0.7473
2025-10-06,ORCL,-1,0.5332
2025-10-06,TSLA,-1,0.5103
2025-10-07,AAPL,-1,0.821
2025-10-07,AMZN,-1,0.447
2025-10-07,GOOGL,0,0.4208
2025-10-07,IBM,-1,0.73
2025-10-07,MSFT,-1,0.7486
2025-10-07,ORCL,-1,0.5322
2025-10-07,TSLA,-1,0.5065
2025-10-08,AAPL,-1,0.8401
2025-10-08,AMZN,-1,0.4426
2025-10-08,GOOGL,0,0.4081
2025-10-08,IBM,-1,0.7364
2025-10-08,MSFT,-1,0.7486
2025-10-08,ORCL,-1,0.5402
2025-10-08,TSLA,-1,0.5065
2025-10-09,AAPL,-1,0.8355
2025-10-09,AMZN,-1,0.4356
2025-10-09,GOOGL,0,0.3959
2025-10-09,IBM,-1,0.7379
2025-10-09,MSFT,-1,0.7482
2025-10-09,ORCL,-1,0.5424
2025-10-09,TSLA,-1,0.5013
2025-10-10,AAPL,-1,0.846
2025-10-10,AMZN,-1,0.4287
2025-10-10,GOOGL,0,0.383
2025-10-10,IBM,-1,0.7349
2025-10-10,MSFT,-1,0.7482
2025-10-10,ORCL,-1,0.5423
2025-10-10,TSLA,-1,0.4938
2025-10-13,AAPL,-1,0.8531
2025-10-13,AMZN,-1,0.443
2025-10-13,GOOGL,1,0.3676
2025-10-13,IBM,-1,0.7212
2025-10-13,MSFT,-1,0.7479
2025-10-13,ORCL,-1,0.5444
