well_file_number,well_name,operator,api,county,state,address,latitude,longitude
11745,Basic Game & Fish 34-3H,"RIM Operating, INC.",,Mckenzie,ND,,,
11920,Corps Of Engineers 31-10,"Rim Operating, Inc.",,Mckenzie,ND,,,
15358,LEWIS & CLARK 2-4H,"RIM OPERATING, INC.",,Mckenzie,ND,5 INVERNESS DRIVE EAST ENGLEWOOD 80112,,
20197,Wade Federal 5300 21-30H,Oasis Petroleum,33-053-03413-00-00,,ND,,,
20407,Chalmers 5300 31-19H,Oasis Petroleum North America Llc,,Williams,ND,,,
20863,Foley Federal 5301 43-12H,Oasis Petroleum North America Llc,,Mckenzie,ND,,,
20864,Bray 5301 43-12H,Oasis Petroleum North America Llc,,Mckenzie,ND,,,
21266,DAHL 15-11H,SMENERGYCOMPANY {406}245-6248,,County,ND,City State Zip Code,,
21796,DAHLFEDERAL 2-15H,SMENERGYCOMPANY {406}245-6248,,County,ND,City State Zip Code,,
22099,Yukon 5301 41-12T,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,
22220,Jefferies 5301 43-12B,Oasis Petroleum,,Mckenzie,ND,,,
22221,lnnoko 5301 43-12T,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,
22247,Magnum 1-36-25H,"Slawson Exploration Company, Inc.",,Mckenzie,ND,,,
22249,Ma num 2-36-25H SESE 36 McKenzie,"Slawson Ex !oration Com an , Inc.",,Field,ND,City State Zip Code,,
22731,Magnum 3-36-25H,"Slawson Exploration Company, Inc.",,Mckenzie,ND,,,
22740,Larry 5301 44-12B,Oasis Petroleum,,Mckenzie,ND,,,
23230,Ash Federal 5300 11-18T,Oasis Petroleum North America LLC,,,ND,"1001 Fannin, Suite 1500",,
23359,Atlanta 14-SH,"Continental Resources, Inc.",33-105-02719,Williams,ND,P .0. Box 268870,,
23360,Atlanta 13-6H,"Continental Resources, Inc.",33-105-02720,Williams,ND,,48.109,-103.728
23361,AUmta 12-6H,"Continental Resources, Inc.",33-105-02721,Williams,ND,- P.O. Box 268870,48.109,-103.728
23362,Atlanta 11-6H,"Continental Resources, Inc.",33-105-02722,Williams,ND,,48.11,-103.73
23363,Atlanta Federal 10-6H,"Continental Resources, Inc.",33-105-02723,Williams,ND,,,
23364,Atlanta Federal 9-6H,"Continental Resources, Inc.",33-105-02724,Well,ND,,,
23365,Atlanta Federal 8-6H,"Continental Resources, Inc.",33-105-02725,Williams,ND,,,
23366,Atlanta Federal 7-6H,"Continental Resources, Inc.",33-105-02726,Williams,ND,,,
23367,Atlanta Federal 6-6H,"Continental Resources, Inc.",33-105-02727,Williams,ND,,,
23368,Atlanta Federal 5-6H,"Continental Resources, Inc.",,Williams,ND,,,
23369,Atlanta 4-6H,"Continental Resources, Inc.",33-105-02729,Williams,ND,,48.1094,-103.7329
23370,Atlanta 3-6H,"Continental Resources, Inc.",,Williams,ND,P.O. Box 268870,48.1094,-103.7312
23371,Atlanta 2-6H,"Continental Resources, Inc.",33-105-02731,Williams,ND,,,
23372,Atlanta 1-GH,"Continental Resources, Inc.",33-105-02732,,ND,P.O. Box 268870,48.11,-103.73
25156,Columbus Federal 1-16H,"Continental Resources, Inc.",33-053-04852,,ND,P.O. Box 268870,,
25157,Tallahassee 3-16H,Continental Resources Inc.,,Mckenzie,ND,P .0. Box 268870 Oklahoma City OK 73126,,
25158,Tallahassee 2-16H,"Continental Resources, Inc.",,,ND,P.O. Box 268870,,
25159,Columbus Federal 2-16H,"Continental Resources, Inc.",,,ND,P.O. Box 268870,,
25160,Columbus Federal 3-16H ~ 4 & lt-153N-101W Sec__ '-I i ti J-2 I,"Continental Resources, Inc.",,,ND,P.O. Box 268870,,
25571,Colville 5301 44-12T,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,
28190,Lewis Federal 5300 21-31 6B,Oasis Petroleum,33-053-05845,Mckenzie,ND,,,
28194,Lewis Federal 5300 21-31 5B,Oasis Petroleum,33-053-05849,Mckenzie,ND,,,
28303,Wade Federal 5300 31-30 11 T,Oasis Petroleum North America,33-053-05906,,ND,"1001 Fannin, Suite 1500",,
28342,Chalmers 5301 44-24 2TR,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,
28394,Wade Federal 5300 41-30 4T,Oasis Petroleum North America,33-053-05943,,ND,"1001 Fannin, Suite 1500",,
28425,Wade Federal 5300 41-30 6B,Oasis Petroleum North America,33-053-05954,,ND,"1001 Fannin, Suite 1500",,
28554,Wade Federal 5300 31-30 2B,Oasis Petroleum North America,33-053-05995,,ND,"1001 Fannin, Suite 1500",,
28557,Wade Federal 5300 41-30 7T,Oasis Petroleum North America,33-053-05998,,ND,"1001 Fannin, Suite 1500",,
28599,Chalmers 5301 44-24 3BR,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,
28600,~!8T1'3N P'>IOrw,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,
28601,Chalmers Wade Federal 5301 44-2412TXR,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,
28633,Chalmers 5300 21-19 5T,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,
28634,Chalmers 5300 21-19 6B,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,
28636,Chalmers 5300 21-19 ST,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,
28637,Chalmers 5300 21-19 1 OT,Oasis Petroleum North America LLC,33-053-06022,,ND,"1001 Fannin, Suite 1500",,
28648,Chalmers 5300 21-19 9B,Oasis Petroleum North America,33-053-06023,,ND,"1001 Fannin, Suite 1500",,
28649,Chalmers 5300 21-19 11 B,Oasis Petroleum North America,33-053-06024,,ND,"1001 Fannin, Suite 1500",,
28651,Kline Federal 5300 41-18 9T,Oasis Petroleum North America,33-053-06025,McKenzie,ND,"1001 Fannin, Suite 1500",,
