well_file_number,well_name,operator,api,county,state,address,latitude,longitude,de_url,de_found,de_status,de_well_type,de_direction,de_operator,de_closest_city,de_latitude,de_longitude,de_oil_bbls,de_gas_mcf,de_production_start,de_production_end
11745,Basic Game & Fish 34-3H,"RIM Operating, INC.",,Mckenzie,ND,,,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11920,Corps Of Engineers 31-10,"Rim Operating, Inc.",,Mckenzie,ND,,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/corps-of-engineers-31-10/33-053-02148,1,Plugged and Abandoned,Oil & Gas,D,"RIM OPERATING, INC.",Williston,48.094925,-103.656644,64,N/A,November 1986,December 2025
15358,LEWIS & CLARK 2-4H,"RIM OPERATING, INC.",,Mckenzie,ND,5 INVERNESS DRIVE EAST ENGLEWOOD 80112,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/lewis-and-clark-2-4h/33-053-02556,1,Active,Oil & Gas,H,"RIM OPERATING, INC.",Williston,48.104997,-103.670242,537,537,June 2003,December 2025
20197,Wade Federal 5300 21-30H,Oasis Petroleum,33-053-03413-00-00,,ND,,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-21-30h/33-053-03413,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.047147,-103.603100,63,12,July 2011,December 2025
20407,Chalmers 5300 31-19H,Oasis Petroleum North America Llc,,Williams,ND,,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5300-31-19h/33-053-03472,1,Abandoned,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.057438,-103.602355,N/A,N/A,December 2011,December 2025
20863,Foley Federal 5301 43-12H,Oasis Petroleum North America Llc,,Mckenzie,ND,,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/foley-federal-5301-43-12h/33-053-03608,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.082690,-103.611486,1 k,2.1 k,November 2011,December 2025
20864,Bray 5301 43-12H,Oasis Petroleum North America Llc,,Mckenzie,ND,,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/bray-5301-43-12h/33-053-03609,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.082698,-103.611895,125,795,January 2012,December 2025
21266,DAHL 15-11H,SMENERGYCOMPANY {406}245-6248,,County,ND,City State Zip Code,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/dahl-federal-15-11h/33-053-03703,1,Plugged and Abandoned,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.082328,-103.635729,N/A,N/A,January 2012,December 2025
21796,DAHLFEDERAL 2-15H,SMENERGYCOMPANY {406}245-6248,,County,ND,City State Zip Code,,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/dahl-federal-2-15h/33-053-03846,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.080324,-103.655498,1.5 k,3.4 k,May 2012,December 2025
22099,Yukon 5301 41-12T,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/yukon-5301-41-12t/33-053-03911,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.082914,-103.622634,1.1 k,1.5 k,September 2013,December 2025
